combinationID,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,maskedImgIdx,seq_order,choice_order,pattern
59488809,bone,bone,bone,bone,bone,bone,bone,bone,wheat,bone,heart,lock,3,07265143,1302,AAAAAAAA
60384674,smile,smile,smile,smile,smile,smile,smile,smile,smile,eye,headphones,megaphone,3,54702163,3102,AAAAAAAA
44655768,camera,camera,camera,camera,camera,camera,camera,camera,heart,megaphone,camera,lock,3,45207163,1203,AAAAAAAA
60092299,home,home,home,home,home,home,home,home,camera,headphones,home,megaphone,3,01674523,0132,AAAAAAAA
52900202,heart,heart,heart,heart,heart,heart,heart,heart,eye,bulb,smile,heart,3,12475603,3210,AAAAAAAA
57944587,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,lock,headphones,camera,gamepad,4,50361274,1302,AAAAAAAA
45102777,home,home,home,bulb,home,home,home,bulb,bulb,heart,eye,home,4,01537264,2130,AAABAAAB
58823970,bone,bone,bone,camera,bone,bone,bone,camera,bone,gamepad,camera,lock,3,40271563,2310,AAABAAAB
44002725,bulb,bulb,bulb,headphones,bulb,bulb,bulb,headphones,lock,bulb,bone,headphones,7,35412607,2013,AAABAAAB
55460355,eye,eye,eye,megaphone,eye,eye,eye,megaphone,megaphone,camera,gamepad,eye,3,14056723,2103,AAABAAAB
60797956,lock,lock,lock,heart,lock,lock,lock,heart,lock,headphones,heart,smile,4,56301274,1230,AAABAAAB
58680328,bulb,bulb,bulb,wheat,bulb,bulb,bulb,wheat,bulb,wheat,camera,eye,4,13502674,3012,AAABAAAB
52002106,bulb,bulb,heart,heart,bulb,bulb,heart,heart,smile,heart,headphones,bulb,3,26157043,1320,AABBAABB
55000278,bulb,bulb,eye,eye,bulb,bulb,eye,eye,heart,eye,bulb,bone,4,13675024,1302,AABBAABB
51331592,smile,smile,heart,heart,smile,smile,heart,heart,headphones,smile,heart,camera,7,03421567,0123,AABBAABB
43185840,lock,lock,wheat,wheat,lock,lock,wheat,wheat,lock,headphones,wheat,smile,0,37124560,0321,AABBAABB
58813820,eye,eye,camera,camera,eye,eye,camera,camera,headphones,megaphone,camera,eye,3,54610273,0231,AABBAABB
51012947,camera,camera,gamepad,gamepad,camera,camera,gamepad,gamepad,gamepad,camera,home,heart,4,60521734,0123,AABBAABB
52522088,eye,eye,smile,smile,bone,bone,wheat,wheat,smile,eye,wheat,bone,0,23651470,0231,AABBCCDD
42309027,headphones,headphones,wheat,wheat,gamepad,gamepad,lock,lock,headphones,wheat,lock,gamepad,7,45310267,0123,AABBCCDD
42532600,bulb,bulb,home,home,camera,camera,lock,lock,camera,bulb,home,lock,3,71246503,3201,AABBCCDD
46313480,bone,bone,lock,lock,megaphone,megaphone,home,home,bone,megaphone,lock,home,0,14263570,0321,AABBCCDD
45952161,heart,heart,eye,eye,gamepad,gamepad,wheat,wheat,gamepad,heart,eye,wheat,0,45621730,1302,AABBCCDD
62355374,smile,smile,home,home,lock,lock,heart,heart,heart,lock,smile,home,7,20563147,2013,AABBCCDD
60571780,smile,smile,wheat,headphones,smile,smile,wheat,headphones,bone,wheat,smile,headphones,3,56407123,0213,AABCAABC
51855235,home,home,gamepad,camera,home,home,gamepad,camera,gamepad,lock,home,camera,4,65710324,2013,AABCAABC
51591980,megaphone,megaphone,eye,home,megaphone,megaphone,eye,home,home,camera,eye,megaphone,4,32165704,2310,AABCAABC
44907709,bone,bone,home,camera,bone,bone,home,camera,heart,bone,camera,home,4,12570634,1320,AABCAABC
44353759,lock,lock,smile,bone,lock,lock,smile,bone,bone,smile,lock,camera,7,50421367,0213,AABCAABC
50153068,wheat,wheat,headphones,lock,wheat,wheat,headphones,lock,wheat,lock,megaphone,headphones,3,07524163,0213,AABCAABC
58276447,headphones,lock,headphones,lock,headphones,lock,headphones,lock,headphones,heart,wheat,lock,0,71253640,0123,ABABABAB
60666571,gamepad,megaphone,gamepad,megaphone,gamepad,megaphone,gamepad,megaphone,bulb,home,gamepad,megaphone,7,15326407,0123,ABABABAB
58322037,bulb,camera,bulb,camera,bulb,camera,bulb,camera,heart,camera,bulb,bone,7,62135407,2103,ABABABAB
54118657,megaphone,headphones,megaphone,headphones,megaphone,headphones,megaphone,headphones,headphones,heart,megaphone,eye,0,17254360,0132,ABABABAB
60269111,gamepad,headphones,gamepad,headphones,gamepad,headphones,gamepad,headphones,gamepad,home,heart,headphones,4,62731054,1203,ABABABAB
50173697,heart,bulb,heart,bulb,heart,bulb,heart,bulb,bulb,wheat,heart,home,4,71235604,2013,ABABABAB
53400896,eye,smile,eye,smile,wheat,megaphone,wheat,megaphone,eye,smile,megaphone,wheat,0,16543720,3201,ABABCDCD
60047167,lock,eye,lock,eye,bone,bulb,bone,bulb,bone,eye,lock,bulb,7,46210537,0321,ABABCDCD
47380407,home,megaphone,home,megaphone,headphones,camera,headphones,camera,megaphone,home,camera,headphones,7,41365027,1032,ABABCDCD
43992408,bone,eye,bone,eye,megaphone,bulb,megaphone,bulb,eye,bone,megaphone,bulb,4,16072534,2013,ABABCDCD
52368308,eye,megaphone,eye,megaphone,bone,wheat,bone,wheat,eye,wheat,megaphone,bone,0,65724310,0231,ABABCDCD
47095770,camera,heart,camera,heart,eye,smile,eye,smile,heart,camera,eye,smile,0,41563720,3210,ABABCDCD
62217689,lock,gamepad,lock,eye,lock,gamepad,lock,eye,eye,gamepad,lock,home,4,15267304,1032,ABACABAC
47513343,gamepad,eye,gamepad,smile,gamepad,eye,gamepad,smile,gamepad,eye,headphones,smile,0,23467510,2301,ABACABAC
59937493,headphones,bone,headphones,heart,headphones,bone,headphones,heart,heart,headphones,bone,megaphone,0,42613750,1032,ABACABAC
43018611,bone,smile,bone,megaphone,bone,smile,bone,megaphone,megaphone,bone,smile,headphones,7,46503217,1032,ABACABAC
52629386,gamepad,smile,gamepad,wheat,gamepad,smile,gamepad,wheat,gamepad,wheat,smile,lock,3,16072453,3210,ABACABAC
48107888,bulb,heart,bulb,headphones,bulb,heart,bulb,headphones,headphones,heart,wheat,bulb,7,25143607,2031,ABACABAC
50023761,megaphone,gamepad,gamepad,megaphone,megaphone,gamepad,gamepad,megaphone,lock,megaphone,gamepad,bone,4,53162074,3102,ABBAABBA
54164395,headphones,home,home,headphones,headphones,home,home,headphones,headphones,wheat,megaphone,home,4,76120534,2013,ABBAABBA
62157753,bulb,headphones,headphones,bulb,bulb,headphones,headphones,bulb,gamepad,eye,headphones,bulb,7,36045217,0132,ABBAABBA
50002031,eye,wheat,wheat,eye,eye,wheat,wheat,eye,wheat,eye,gamepad,heart,0,72451630,1023,ABBAABBA
57325873,home,wheat,wheat,home,home,wheat,wheat,home,wheat,eye,home,heart,0,54376120,0321,ABBAABBA
45099445,home,lock,lock,home,home,lock,lock,home,home,heart,lock,bone,4,31760254,1230,ABBAABBA
45491008,bone,smile,smile,bone,bulb,gamepad,gamepad,bulb,smile,bone,bulb,gamepad,4,27035164,1230,ABBACDDC
43200236,bulb,home,home,bulb,megaphone,lock,lock,megaphone,home,lock,megaphone,bulb,7,64150237,2103,ABBACDDC
61900296,heart,gamepad,gamepad,heart,wheat,eye,eye,wheat,wheat,gamepad,eye,heart,4,02735164,1032,ABBACDDC
44221522,smile,headphones,headphones,smile,gamepad,bulb,bulb,gamepad,smile,bulb,headphones,gamepad,0,71425360,0231,ABBACDDC
57659769,gamepad,headphones,headphones,gamepad,megaphone,smile,smile,megaphone,smile,gamepad,megaphone,headphones,4,70152634,2013,ABBACDDC
49990190,camera,headphones,headphones,camera,gamepad,smile,smile,gamepad,smile,headphones,gamepad,camera,7,41350267,1032,ABBACDDC
52919528,smile,eye,eye,eye,smile,eye,eye,eye,gamepad,heart,smile,eye,7,35204617,0321,ABBBABBB
44003483,heart,bone,bone,bone,heart,bone,bone,bone,heart,lock,bone,megaphone,3,06217453,0231,ABBBABBB
58225216,smile,wheat,wheat,wheat,smile,wheat,wheat,wheat,home,smile,camera,wheat,3,20746513,3201,ABBBABBB
56153540,gamepad,heart,heart,heart,gamepad,heart,heart,heart,megaphone,wheat,heart,gamepad,4,15067234,3021,ABBBABBB
45016635,lock,smile,smile,smile,lock,smile,smile,smile,wheat,home,lock,smile,7,15463207,3120,ABBBABBB
47059977,megaphone,eye,eye,eye,megaphone,eye,eye,eye,eye,smile,bulb,megaphone,3,02467153,2310,ABBBABBB
44598225,smile,heart,heart,camera,smile,heart,heart,camera,megaphone,camera,smile,heart,0,61547230,0123,ABBCABBC
56636414,bone,headphones,headphones,home,bone,headphones,headphones,home,bone,home,headphones,camera,0,51726430,1203,ABBCABBC
51487513,bulb,eye,eye,headphones,bulb,eye,eye,headphones,headphones,eye,camera,bulb,7,06514327,2310,ABBCABBC
49424161,gamepad,headphones,headphones,bulb,gamepad,headphones,headphones,bulb,lock,bulb,headphones,gamepad,7,54612307,3102,ABBCABBC
45565067,lock,wheat,wheat,eye,lock,wheat,wheat,eye,headphones,lock,eye,wheat,0,12346570,0312,ABBCABBC
50159898,camera,home,home,gamepad,camera,home,home,gamepad,home,gamepad,eye,camera,3,71645023,3102,ABBCABBC
48925011,lock,gamepad,camera,lock,lock,gamepad,camera,lock,smile,gamepad,lock,camera,7,21065347,2301,ABCAABCA
59023062,heart,camera,gamepad,heart,heart,camera,gamepad,heart,gamepad,heart,bone,camera,4,32150764,1320,ABCAABCA
51737760,lock,camera,eye,lock,lock,camera,eye,lock,eye,camera,lock,wheat,4,62537104,1203,ABCAABCA
53846560,bulb,megaphone,wheat,bulb,bulb,megaphone,wheat,bulb,bulb,bone,megaphone,wheat,7,20645317,3021,ABCAABCA
49165378,bulb,heart,wheat,bulb,bulb,heart,wheat,bulb,bone,heart,bulb,wheat,0,71264530,3012,ABCAABCA
45761162,bulb,heart,lock,bulb,bulb,heart,lock,bulb,heart,megaphone,lock,bulb,3,47062513,2301,ABCAABCA
47090192,smile,wheat,home,home,smile,wheat,home,home,heart,wheat,home,smile,3,71206543,1203,ABCCABCC
57113458,camera,bulb,smile,smile,camera,bulb,smile,smile,home,camera,bulb,smile,4,05236714,3021,ABCCABCC
55848980,smile,wheat,eye,eye,smile,wheat,eye,eye,wheat,gamepad,eye,smile,7,45216037,0123,ABCCABCC
53389686,smile,headphones,home,home,smile,headphones,home,home,home,smile,megaphone,headphones,4,35160274,2310,ABCCABCC
42333729,headphones,eye,lock,lock,headphones,eye,lock,lock,eye,home,lock,headphones,0,32147560,0231,ABCCABCC
52190466,heart,wheat,headphones,headphones,heart,wheat,headphones,headphones,heart,headphones,megaphone,wheat,0,73421650,1032,ABCCABCC
58514347,lock,bulb,camera,camera,bulb,lock,lock,bulb,lock,camera,eye,bulb,4,50726314,0312,ABCCBAAB
61642760,bulb,gamepad,heart,heart,gamepad,bulb,bulb,gamepad,camera,bulb,heart,gamepad,4,20165374,2013,ABCCBAAB
49153274,heart,headphones,gamepad,gamepad,headphones,heart,heart,headphones,headphones,heart,gamepad,bulb,0,53214670,2301,ABCCBAAB
47072715,headphones,bone,camera,camera,bone,headphones,headphones,bone,headphones,camera,gamepad,bone,0,16752340,2103,ABCCBAAB
46992214,megaphone,home,bulb,bulb,home,megaphone,megaphone,home,bulb,camera,home,megaphone,4,61273054,1302,ABCCBAAB
61859444,heart,camera,bulb,bulb,camera,heart,heart,camera,heart,bulb,eye,camera,7,52631407,3120,ABCCBAAB
53736792,megaphone,smile,eye,headphones,megaphone,smile,eye,headphones,smile,headphones,megaphone,eye,0,54271630,2130,ABCDABCD
60738523,camera,heart,wheat,lock,camera,heart,wheat,lock,camera,wheat,heart,lock,7,43051267,1302,ABCDABCD
51719982,lock,headphones,smile,gamepad,lock,headphones,smile,gamepad,gamepad,smile,lock,headphones,0,42765130,1032,ABCDABCD
53359025,heart,smile,bone,home,heart,smile,bone,home,smile,bone,home,heart,3,04165273,3021,ABCDABCD
55195755,headphones,bone,gamepad,heart,headphones,bone,gamepad,heart,gamepad,bone,headphones,heart,7,45603217,2031,ABCDABCD
46115069,heart,wheat,bulb,bone,heart,wheat,bulb,bone,wheat,bulb,heart,bone,4,36017524,0231,ABCDABCD
55155741,lock,home,eye,gamepad,gamepad,eye,home,lock,eye,gamepad,lock,home,3,65720413,3021,ABCDDCBA
43036540,bone,headphones,lock,home,home,lock,headphones,bone,home,headphones,lock,bone,3,26415703,1203,ABCDDCBA
50688058,megaphone,eye,home,bulb,bulb,home,eye,megaphone,eye,home,bulb,megaphone,0,42631570,1023,ABCDDCBA
53925239,wheat,smile,heart,eye,eye,heart,smile,wheat,smile,eye,wheat,heart,7,10654237,2103,ABCDDCBA
51579926,camera,headphones,lock,wheat,wheat,lock,headphones,camera,camera,wheat,headphones,lock,3,74156203,3210,ABCDDCBA
53647209,megaphone,smile,home,lock,lock,home,smile,megaphone,lock,smile,megaphone,home,0,41756320,3012,ABCDDCBA
47105172,heart,bone,home,eye,camera,heart,bone,home,bone,home,camera,heart,4,25760314,0321,ABCDEABC
48667636,smile,lock,headphones,home,bulb,smile,lock,headphones,lock,bulb,home,headphones,7,30521647,2103,ABCDEABC
53017072,heart,bulb,home,megaphone,camera,heart,bulb,home,bulb,megaphone,heart,camera,4,51267034,3201,ABCDEABC
57240405,home,megaphone,smile,lock,headphones,home,megaphone,smile,megaphone,smile,headphones,home,7,31045267,0321,ABCDEABC
53155437,eye,bulb,heart,bone,home,eye,bulb,heart,heart,eye,home,bulb,4,67201534,0231,ABCDEABC
43957274,bulb,home,eye,wheat,bone,bulb,home,eye,home,bulb,eye,bone,7,26104357,1032,ABCDEABC
43582204,bulb,smile,wheat,camera,gamepad,gamepad,camera,wheat,gamepad,wheat,bulb,smile,7,06534217,3012,ABCDEEDC
57817840,eye,lock,bone,megaphone,bulb,bulb,megaphone,bone,lock,eye,bulb,megaphone,4,52067314,1023,ABCDEEDC
51189517,wheat,bulb,smile,bone,lock,lock,bone,smile,lock,bone,smile,bulb,7,50623417,1320,ABCDEEDC
46612996,bone,smile,headphones,eye,home,home,eye,headphones,home,bone,eye,smile,4,06753214,0231,ABCDEEDC
53853831,heart,eye,megaphone,gamepad,home,home,gamepad,megaphone,eye,megaphone,heart,home,4,31765024,2310,ABCDEEDC
57241175,megaphone,bulb,headphones,eye,wheat,wheat,eye,headphones,wheat,bulb,headphones,megaphone,7,06215347,0213,ABCDEEDC
57529037,wheat,eye,smile,camera,megaphone,headphones,wheat,eye,headphones,smile,megaphone,camera,4,72361054,2013,ABCDEFAB
59522196,camera,eye,gamepad,bulb,wheat,headphones,camera,eye,wheat,eye,bulb,camera,0,43567120,0321,ABCDEFAB
53472415,smile,heart,wheat,home,bulb,eye,smile,heart,bulb,smile,heart,home,4,72603154,0312,ABCDEFAB
45421198,lock,megaphone,smile,gamepad,eye,camera,lock,megaphone,lock,megaphone,smile,camera,7,10364527,0312,ABCDEFAB
45514544,megaphone,eye,wheat,home,heart,bulb,megaphone,eye,wheat,heart,eye,home,3,42761053,3210,ABCDEFAB
53822759,home,camera,heart,wheat,megaphone,headphones,home,camera,wheat,camera,home,megaphone,3,76502143,1302,ABCDEFAB
56388039,eye,bone,lock,bulb,home,gamepad,heart,wheat,eye,lock,bulb,gamepad,0,16732540,0312,ABCDEFGH
44755892,bone,headphones,wheat,megaphone,smile,bulb,gamepad,eye,megaphone,bulb,smile,gamepad,3,17205643,3012,ABCDEFGH
48579173,home,bulb,headphones,smile,megaphone,eye,wheat,bone,eye,home,megaphone,bulb,4,56730124,1032,ABCDEFGH
58950651,bulb,gamepad,smile,heart,eye,headphones,wheat,camera,smile,bulb,headphones,heart,0,71354260,2310,ABCDEFGH
48787757,heart,gamepad,wheat,home,eye,lock,headphones,camera,camera,home,headphones,heart,7,53612407,1203,ABCDEFGH
51483812,camera,wheat,megaphone,bone,home,lock,eye,bulb,wheat,camera,megaphone,bulb,0,63541720,2013,ABCDEFGH
